Headlines,link,Date
" 

                         ,	
			                  		,
										Gevora, the world's tallest hotel, opens in Dubai ","/news/world/2018/02/12/gevora-world-tallest-hotel-opens-in-dubai.html,/news/world/2018/02/12/gevora-world-tallest-hotel-opens-in-dubai.html",
" 

                         ,	
			                  		,
										Pakistan rejects allegations over terror attack on Sunjwan army camp","/news/world/2018/02/12/pakistan-rejects-allegations-over-terror-attack-on-sunjwan-army-.html,/news/world/2018/02/12/pakistan-rejects-allegations-over-terror-attack-on-sunjwan-army-.html",
" 

                         ,	
			                  		,
										71 die as passenger plane crashes near Moscow| Pix, video","/news/world/2018/02/11/71-feared-dead-as-saratov-airlines-plane-crashes-near-moscow.html,/news/world/2018/02/11/71-feared-dead-as-saratov-airlines-plane-crashes-near-moscow.html",
" 

                         ,	
			                  		,
										Pakistani rights activist Asma Jahangir dead","/news/world/2018/02/11/pakistani-rights-activist-asma-jahangir-dead.html,/news/world/2018/02/11/pakistani-rights-activist-asma-jahangir-dead.html",
" 

                         ,	
			                  		,
										India's ties with UAE much more than that of buyer-seller: PM Modi","/news/world/2018/02/11/india-ties-uae-modi-dubai-opera-house.html,/news/world/2018/02/11/india-ties-uae-modi-dubai-opera-house.html",
" 

                         ,	
			                  		,
										Elon Musk's Tesla Roadster spotted floating in space","/news/world/2018/02/11/elon-musk-tesla-roadster-spotted-floating-space.html,/news/world/2018/02/11/elon-musk-tesla-roadster-spotted-floating-space.html",
" 

                         ,	
			                  		,
										Kim Jong Un invites South Korean president for summit","/news/world/2018/02/11/kim-jong-un-invites-south-korean-president-for-summit-south-kore.html,/news/world/2018/02/11/kim-jong-un-invites-south-korean-president-for-summit-south-kore.html",
" 

                         ,	
			                  		,
										Modi to lay foundation stone for Abu Dhabi's first Indian temple","/news/world/2018/02/10/modi-to-lay-foundation-stone-for-abu-dhabi-first-indian-temple.html,/news/world/2018/02/10/modi-to-lay-foundation-stone-for-abu-dhabi-first-indian-temple.html",
" 

                         ,	
			                  		,
										Israel launches attacks in Syria after F-16 crashes","/news/world/2018/02/10/israel-launches-attacks-in-syria-after-f-16-crashes.html,/news/world/2018/02/10/israel-launches-attacks-in-syria-after-f-16-crashes.html",
" 

                         ,	
			                  		,
										Anna back again without much bang","/news/columns/national-scrutiny/2018/02/09/anna-hazare-agitation-without-much-bang.html,/news/columns/national-scrutiny/2018/02/09/anna-hazare-agitation-without-much-bang.html",
" 

                         ,	
			                  		,
										India, Indira and Poojary: How Karunakaran scored a goal in Karnataka","/news/columns/national-scrutiny/2018/02/05/india-indira-janardhana-poojari-karunakaran-scored-goal-karnataka.html,/news/columns/national-scrutiny/2018/02/05/india-indira-janardhana-poojari-karunakaran-scored-goal-karnataka.html",
" 

                         ,	
			                  		,
										Alliance gamble: Is the Congress worried?","/news/columns/national-scrutiny/2018/01/23/the-alliance-gamble-is-the-congress-worried-sachidananda-murthy-nationa-scrutiny-column.html,/news/columns/national-scrutiny/2018/01/23/the-alliance-gamble-is-the-congress-worried-sachidananda-murthy-nationa-scrutiny-column.html",
" 

                         ,	
			                  		,
										Reel charm in realpolitik: will the Rajini magic work?","/news/columns/national-scrutiny/2018/01/17/rajini-foray-into-realpolitik-will-the-magic-work.html,/news/columns/national-scrutiny/2018/01/17/rajini-foray-into-realpolitik-will-the-magic-work.html",
" 

                         ,	
			                  		,
										Captive breeding, reintroduction and relocation: challenges and opportunities","/news/columns/call-of-the-wild/2017/12/23/captive-breeding-reintroduction-relocation-oppurtunities-challenges.html,/news/columns/call-of-the-wild/2017/12/23/captive-breeding-reintroduction-relocation-oppurtunities-challenges.html",
" 

                         ,	
			                  		,
										Tiny Bytes: SpaceX's launches Falcon Heavy rocket, Auto Expo 2018, Winter Olympics 2018  and more","/news/podcast/2018/02/09/tiny-bytes-podcast-news-spacex-auto-expo.html,/news/podcast/2018/02/09/tiny-bytes-podcast-news-spacex-auto-expo.html",
" 

                         ,	
			                  		,
										Tiny Bytes: Budget 2018, rare 'Super blue blood Moon', U-19 World Cup and more","/news/podcast/2018/02/02/tiny-bytes-budget-super-moon-union-kerala-union-budget-world-cup.html,/news/podcast/2018/02/02/tiny-bytes-budget-super-moon-union-kerala-union-budget-world-cup.html",
" 

                         ,	
			                  		,
										Tiny Bytes: CUSAT aims for center of excellence, Kozhikode railway station cleanest and more","/news/podcast/2018/01/12/tiny-bytes-cusat-kozhikode-apple-more.html,/news/podcast/2018/01/12/tiny-bytes-cusat-kozhikode-apple-more.html",
" 

                         ,	
			                  		,
										Tiny Bytes: Australian Open, White House vs Pakistan, US 'Bombogenesis' and more","/news/podcast/2018/01/07/tiny-bytes-australian-open-white-house-pakistan.html,/news/podcast/2018/01/07/tiny-bytes-australian-open-white-house-pakistan.html",
" 

                         ,	
			                  		,
										Tiny Bytes: Lawsuit against iPhones, Putin eyes for another term, El Clasico and more","/news/podcast/2017/12/29/tiny-bytes-iphones-putin-el-clasico-more.html,/news/podcast/2017/12/29/tiny-bytes-iphones-putin-el-clasico-more.html",
" 

                         ,	
			                  		,
										Novel blood test may help you measure your heart health","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/research&pathFrom=/content/mm/en/wellness,/wellness/news-and-research/2018/02/09/zblood-test-help-measure-heart-health.html,/wellness/news-and-research/2018/02/09/zblood-test-help-measure-heart-health.html",
" 

                         ,	
			                  		,
										Wanna know the best day to pop the question? No, it’s not V’Day ","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/health/love-and-sex&pathFrom=/content/mm/en/wellness,/wellness/love-and-sex/valentines-day-love-calender-celebrate-days.html,/wellness/love-and-sex/valentines-day-love-calender-celebrate-days.html",
" 

                         ,	
			                  		,
										This Delhi man shed 39 kilos by eating what he wanted!","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/health/fitness&pathFrom=/content/mm/en/wellness,/wellness/fitness/2018/02/07/delhi-man-sheds-39-kilos-eating-food-he-loves.html,/wellness/fitness/2018/02/07/delhi-man-sheds-39-kilos-eating-food-he-loves.html",
" 

                         ,	
			                  		,
										New two-minute questionnaire may detect autism in toddlers","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/research&pathFrom=/content/mm/en/wellness,/wellness/news-and-research/2018/02/07/two-minute-questionnaire-detect-autism-students.html,/wellness/news-and-research/2018/02/07/two-minute-questionnaire-detect-autism-students.html",
" 

                         ,	
			                  		,
										Preemies make fewer friends, at risk of being bullied","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/study&pathFrom=/content/mm/en/wellness,/wellness/news-and-research/2018/02/07/preemies-make-few-friends-cyber-bullying.html,/wellness/news-and-research/2018/02/07/preemies-make-few-friends-cyber-bullying.html",
" 

                         ,	
			                  		,
										How a cup of hot tea can contribute to cancer risk in smokers, drinkers","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/study&pathFrom=/content/mm/en/wellness,/wellness/news-and-research/2018/02/07/drinking-hot-tea-smokers-drinkers-cancer.html,/wellness/news-and-research/2018/02/07/drinking-hot-tea-smokers-drinkers-cancer.html",
" 

                         ,	
			                  		,
										Add hues of black to your plate for healthy living","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/health/diet&pathFrom=/content/mm/en/wellness,/wellness/diet-and-nutrition/2018/02/06/black-food-habits-healthy-living.html,/wellness/diet-and-nutrition/2018/02/06/black-food-habits-healthy-living.html",
" 

                         ,	
			                  		,
										Eat grapes to ward off depression","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/health/diet&pathFrom=/content/mm/en/wellness,/wellness/diet-and-nutrition/2018/02/03/eat-grapes-ward-off-depression.html,/wellness/diet-and-nutrition/2018/02/03/eat-grapes-ward-off-depression.html",
" 

                         ,	
			                  		,
										Keep it simple: 6 vital pointers for a healthy life","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/health&pathFrom=/content/mm/en/wellness,/wellness/health/2018/02/02/simple-tips-for-healthy-life.html,/wellness/health/2018/02/02/simple-tips-for-healthy-life.html",
" 

                         ,	
			                  		,
										Want to shed some extra kilos? Try standing for 6 hours a day","/wellness/related-stories.html?sectionTagID=MMSectionTags:English/Life-Style/study&pathFrom=/content/mm/en/wellness,/wellness/news-and-research/2018/02/01/want-to-shed-extra-kilos-try-standing-6-hours.html,/wellness/news-and-research/2018/02/01/want-to-shed-extra-kilos-try-standing-6-hours.html",
